,Word,Number of times
0,feel,13973
1,and,12721
2,to,11835
3,the,11808
4,of,6824
5,that,6540
6,feeling,6461
7,my,5422
8,in,4679
9,it,4087
10,like,3661
11,was,3279
12,so,3211
13,for,3189
14,im,3055
15,but,2948
16,me,2942
17,have,2887
18,is,2808
19,with,2735
20,this,2685
21,am,2608
22,not,2419
23,about,2385
24,be,2297
25,as,2134
26,on,2077
27,you,1962
28,at,1925
29,just,1839
30,when,1819
31,or,1609
32,all,1504
33,more,1474
34,because,1464
35,do,1349
36,can,1240
37,up,1229
38,he,1208
39,really,1201
40,by,1197
41,are,1169
42,very,1143
43,been,1127
44,if,1096
45,know,1091
46,had,1088
47,out,1083
48,her,1083
49,time,1032
50,what,1021
51,myself,1007
52,how,978
53,from,968
54,they,968
55,little,960
56,get,947
57,now,920
58,will,910
59,being,874
60,people,865
61,would,847
62,them,836
63,she,815
64,want,811
65,some,803
66,one,802
67,an,800
68,his,799
69,him,797
70,who,792
71,still,759
72,even,746
73,think,744
74,there,727
75,ive,723
76,life,694
77,we,683
78,its,673
79,make,656
80,bit,650
81,something,646
82,much,643
83,could,627
84,love,620
85,going,616
86,things,615
87,no,610
88,dont,596
89,than,593
90,way,593
91,too,558
92,day,558
93,their,545
94,into,544
95,back,540
96,has,536
97,go,513
98,which,510
99,don,509
